iso3,wikipedia_url,http_status,final_url
GBR,https://en.wikipedia.org/wiki/United_Kingdom,200,https://en.wikipedia.org/wiki/United_Kingdom
TZA,https://en.wikipedia.org/wiki/Tanzania,200,https://en.wikipedia.org/wiki/Tanzania
UMI,https://en.wikipedia.org/wiki/United_States_Minor_Outlying_Islands,200,https://en.wikipedia.org/wiki/United_States_Minor_Outlying_Islands
VIR,https://en.wikipedia.org/wiki/Virgin_Islands%2C_U.S.,200,https://en.wikipedia.org/wiki/Virgin_Islands%2C_U.S.
USA,https://en.wikipedia.org/wiki/United_States,200,https://en.wikipedia.org/wiki/United_States
URY,https://en.wikipedia.org/wiki/Uruguay,200,https://en.wikipedia.org/wiki/Uruguay
UZB,https://en.wikipedia.org/wiki/Uzbekistan,200,https://en.wikipedia.org/wiki/Uzbekistan
VUT,https://en.wikipedia.org/wiki/Vanuatu,200,https://en.wikipedia.org/wiki/Vanuatu
VEN,https://en.wikipedia.org/wiki/Venezuela,200,https://en.wikipedia.org/wiki/Venezuela
VNM,https://en.wikipedia.org/wiki/Vietnam,200,https://en.wikipedia.org/wiki/Vietnam
WLF,https://en.wikipedia.org/wiki/Wallis_and_Futuna,200,https://en.wikipedia.org/wiki/Wallis_and_Futuna
ESH,https://en.wikipedia.org/wiki/Western_Sahara,200,https://en.wikipedia.org/wiki/Western_Sahara
YEM,https://en.wikipedia.org/wiki/Yemen,200,https://en.wikipedia.org/wiki/Yemen
ZMB,https://en.wikipedia.org/wiki/Zambia,200,https://en.wikipedia.org/wiki/Zambia
ZWE,https://en.wikipedia.org/wiki/Zimbabwe,200,https://en.wikipedia.org/wiki/Zimbabwe
ALA,https://en.wikipedia.org/wiki/%C3%85land_Islands,200,https://en.wikipedia.org/wiki/%C3%85land_Islands
ABW,https://en.wikipedia.org/wiki/Aruba,200,https://en.wikipedia.org/wiki/Aruba
CUW,https://en.wikipedia.org/wiki/Cura%C3%A7ao,200,https://en.wikipedia.org/wiki/Cura%C3%A7ao
PYF,https://en.wikipedia.org/wiki/French_Polynesia,200,https://en.wikipedia.org/wiki/French_Polynesia
GRL,https://en.wikipedia.org/wiki/Greenland,200,https://en.wikipedia.org/wiki/Greenland
GUM,https://en.wikipedia.org/wiki/Guam,200,https://en.wikipedia.org/wiki/Guam
NCL,https://en.wikipedia.org/wiki/New_Caledonia,200,https://en.wikipedia.org/wiki/New_Caledonia
PRI,https://en.wikipedia.org/wiki/Puerto_Rico,200,https://en.wikipedia.org/wiki/Puerto_Rico
