artist_name,country,Location Reason,Author Background,birth_date,death_date,birth_place,work_title,work_url,source,,tags,More info,Public Domain?,iso3,image_path,is_local
,Ethiopia,,,,,,,https://www.flickr.com/photos/mennonitechurchusa-archives/38236862156/in/photolist-21fRUY5-BPnzKx-Bo9gjt-Bo9etV-BPnAi6-AZ5dfJ-BUhkuU-BLZtqA-BPnAXc-Bo597a-DcYLf7-BLZuxL-AZ8WEs-BPn3Yc-dGV6Av-dGV6DF-mdDwnm-9GE5kr-6t96e1-zH2x6X-qiDXs8-4jyAwM-71WWE3-8GH4PY-71WWAh-71SCFx-7mcSJq-71SCBx-24GuQJy-71WDxG-71WWzo-71SCC2-71SCn8-2q9zSSN-2nTnmXQ-71WDnA-G8mruH-71WD6C-71SCHx-2qFoNow-71WDqJ-2qFnyYp-71WDgN-71SCJD-71WDmm-71WDaN-71WDvS-71SCAH-71SCqz-71SCJa,Flickr Commons,,,,,ETH,https://live.staticflickr.com/4585/38236862156_dfe2f7be5a_z.jpg,false
Elin Danielson-Gambogi (1861–1919) ,Finland,"Grew up in Finland, died in Italy",https://en.wikipedia.org/wiki/Elin_Danielson-Gambogi,,,,,https://commons.wikimedia.org/wiki/File:Elin_Danielson-Gambogi_-_A_girl_by_the_oven_(1894).jpg,Wiki Commons,,,https://www.wikiart.org/en/danielson-gambogi-elin/elin-danielson-gambogi-a-girl-by-the-oven-1894-1894/,Yes,FIN,https://upload.wikimedia.org/wikipedia/commons/4/45/Elin_Danielson-Gambogi_-_A_girl_by_the_oven_%281894%29.jpg,false
Elin Danielson-Gambogi (1861–1919) ,Finland,,,,,,,"https://commons.wikimedia.org/wiki/File:Danielson-Gambogi,_%C3%84idin_huoli.jpg",Wiki Commons,,,,Yes,FIN,https://upload.wikimedia.org/wikipedia/commons/7/76/Danielson-Gambogi%2C_%C3%84idin_huoli.jpg,false
Albert Gebhard,Finland,,,1869-04-29,1937-05-15,Toholampi,Abandoned ; Orphan,https://commons.wikimedia.org/wiki/Special:FilePath/Albert%20Gebhard%20-%20Orphan.jpg,Wiki Commons,,,,,FIN,https://upload.wikimedia.org/wikipedia/commons/a/ae/Albert_Gebhard_-_Orphan.jpg,false
Jean-Baptiste-Siméon Chardin (1699–1779),France,French artist,https://en.wikipedia.org/wiki/Jean_Sim%C3%A9on_Chardin,,,,,https://commons.wikimedia.org/wiki/File:Jean-Baptiste_Simeon_Chardin_The_Governess.jpg,Wiki Commons,,,https://www.wikiart.org/en/jean-baptiste-simeon-chardin/boy-with-a-top/,Yes,FRA,https://upload.wikimedia.org/wikipedia/commons/3/3c/Jean-Baptiste_Simeon_Chardin_The_Governess.jpg,false
"Max Bohm, born Cleveland, OH 1868-died Provincetown, MA 1923",France,,,,,,Springtime in France,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.7_2,smithsonian,,,,,FRA,https://ids.si.edu/ids/deliveryService?id=SAAM-1929.6.7_2,false
Marie Bashkirtseva (–1885),French,Russian artist but lived in Paris,https://en.wikipedia.org/wiki/Marie_Bashkirtseff,,,,,https://commons.wikimedia.org/wiki/File:Marie_Bashkirtseff_-_A_meeting_-_Google_Art_Project.jpg,Wiki Commons,,,https://www.wikiart.org/en/marie-bashkirtseff/the-meeting-1884/,,FRA,https://upload.wikimedia.org/wikipedia/commons/7/7b/Marie_Bashkirtseff_-_A_meeting_-_Google_Art_Project.jpg,false
Nikolaos Gyzis (1842–1901),Greece,,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,,,,,https://commons.wikimedia.org/wiki/File:Detail_from_%22Peek-a-Boo%22_(1882)_-_Nikolaos_Gyzis_(1842-1901).jpg,Wiki Commons,,,https://www.wikiart.org/en/nikolaos-gyzis/boy-with-cherries-1888/,"Tilemahos Efthimiadis, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons",GRC,https://upload.wikimedia.org/wikipedia/commons/3/37/Detail_from_%22Peek-a-Boo%22_%281882%29_-_Nikolaos_Gyzis_%281842-1901%29.jpg,false
Nikolaos Gyzis (1842–1901),Greece,,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,,,,,https://commons.wikimedia.org/wiki/File:Gysis_Nikolaos_Boy_with_cherries.jpg,Wiki Commons,,,,Yes,GRC,https://upload.wikimedia.org/wikipedia/commons/5/5c/Gysis_Nikolaos_Boy_with_cherries.jpg,false
Nikolaos Gyzis (1842–1901),Greece,,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,,,,,https://commons.wikimedia.org/wiki/File:Gyzis_Nikolaos_The_Step_Mother.jpg,Wiki Commons,,,,Yes,GRC,https://upload.wikimedia.org/wikipedia/commons/c/cc/Gyzis_Nikolaos_The_Step_Mother.jpg,false
Polychronis Lembesis (1848–1913),Greece,Green oaubter,https://en.wikipedia.org/wiki/Polychronis_Lembesis,,,,,https://commons.wikimedia.org/wiki/File:Lembesis_Polychronis_Child_with_Rabbits.jpg,Wiki Commons,,,https://www.wikiart.org/en/polychronis-lembesis/a-young-girl-1910/,Yes,GRC,https://upload.wikimedia.org/wikipedia/commons/f/fd/Lembesis_Polychronis_Child_with_Rabbits.jpg,false
Georgios Jakobides,Greece,,,1853-01-11,1932-12-13,Chidira,Kou-Kou,https://commons.wikimedia.org/wiki/Special:FilePath/Kou-Kou%20by%20Georgios%20Iakovidis.jpg,Wiki Commons,,,,,GRC,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kou-Kou_by_Georgios_Iakovidis.jpg,false
Ludwig Thiersch,Greece,,,1825-04-12,1909-05-10,Munich,Q30078729,https://commons.wikimedia.org/wiki/Special:FilePath/Ludwig%20Thiersch%20-%20Die%20Frau%20des%20K%C3%BCnstlers%20mit%20Kind%20-%2015153%20-%20Bavarian%20State%20Painting%20Collections.jpg,Wiki Commons,,,,,GRC,https://upload.wikimedia.org/wikipedia/commons/3/3f/Ludwig_Thiersch_-_Die_Frau_des_K%C3%BCnstlers_mit_Kind_-_15153_-_Bavarian_State_Painting_Collections.jpg,false
Georgios Jakobides,Greece,,,1853-01-11,1932-12-13,Chidira,Der böse Enkel,https://commons.wikimedia.org/wiki/Special:FilePath/The%20Naughty%20Grandson.jpg,Wiki Commons,,,,,GRC,https://upload.wikimedia.org/wikipedia/commons/9/99/The_Naughty_Grandson.jpg,false
,Grenada,,,,,,,https://www.flickr.com/photos/nationalarchives/7629648734/in/photolist-cCcWKQ-cCcji9-cCcjuA-cCcz27-cCcjpW-m9K9fg-cCcAtC-cCciwy-cCcyVG-cCcz8C-cCcWoU-cCcyQ1-cCcWwG-cCcWQG-cCcRfs-cCcR1b-cCczSW-cCcAzo-cCcAej-cCcAob-cCcXKE-cCcAHm-cCcRaN-cCcQtd-cCcANS-cCcBNd-cCcQno-cCcBuf-cCczA7-cCcQww-cCcBDL-cCcBoE-cCcBa1-cCcB27-cCcRBW-cCcPoL-cCcQFU-cCcXAs-cCcQVw-cCcAW9-cCcBgE-cCcBVW-cCcWsU-cCcXR3-cCcYmC-cCcCzC-cCcCg3-cCcCms-cCcR5d-cCcXr5,Flickr Commons,,,,,GRD,https://live.staticflickr.com/8168/7629648734_a0e2909011_z.jpg,false
,Guatemala,,,,,,,https://www.flickr.com/photos/floridamemory/8757862130/in/photolist-ZPsZVK-ioPMzi-bqmYqG-2ozV2wb-ekNChk-2nB5HES-4i9bG6-2gd1GPF-BZEtpV-2oG5yWj-ekUkhW-fCmgj8-c8vTMS-2hauDKv-iT4ssK-cv3oZ7-6cmm3u-iT55FY-2hG849b-iT4p88-fCmgH6-e5fQqE-aSNaET-7ZD97s-66VQFc-eaMJfN-cv3oW9-9EkBeA-o7ichY-9EhGye-9EkMqC-9EhSzV-2pLbU23-2pQdB1b-2qmpYYU,Flickr Commons,,,,,GTM,https://live.staticflickr.com/2820/8757862130_4485833f5c_z.jpg,false
,Guyana,,,,,,,https://www.flickr.com/photos/nationalarchives/7629717094/in/photolist-dhZUsR-dhZTBq-cCdhZ5-cCdi5s-cCdieW-DPeCPZ-cCinQd-7x8byT-cCio6q-cCdia7-cCdimo-cChNuU-cCdivJ-cCdhPW-cCdisd-cCdiHy-cCdmP5-cCdiAs-cCdiPN-cCdj4G-cCdjdU-cCdiTG-cCdjCS-cCdiZW-cCdj8W-cCdjo7-cCdjK3-cCdkY3-cCdjyL-cCdm8h-cCdk3u-cCdjRm-cCdkfL-cCdhJh-cCdjWS-cCdk9E-cCdkjY-cCdkCQ-cCdkoW-cCdm3j-cCdksQ-cCdFxw-cCdkyC-cCibwA-cCdkSj-cCdmcN-cCdmid-cCinF9-cCdkNw-cCdmnf,Flickr Commons,,,,,GUY,https://live.staticflickr.com/8152/7629717094_e954a8140a_b.jpg,false
,Haiti,,,,,,,https://www.flickr.com/photos/smithsonian/15032092144/in/photolist-oUkphu-pP6nvq-pRg88w-4jyAwM-pRbUv8-pQXa5n-AcCS89-pRbUBk-6MoRmK-pRg7WQ-pRg7L9-pQXa9v-6Mt3Ty-7friTf-8nN5Bn-oUkpoS-rrDRz2-6Mt3Xy-pyJSjW-oUouk8-6Mt3UC-pyGjJM-dCXgqv-6MoRoT-6Mt3UN-7fnryH-6chct4-6MsZiU-6MsZiu-7friV5-6Mt3R1-7fnryZ-7fnrta-257kZTC-7fnru4-pRg7Y3-6MoRj2-6Mt3Q1-9v2vhD-6MoRpH-2qqE5Hh-oUoupM-oUouoK-6MoMHH-6MsZhY-vpFy3H-9v2vbR-6MoMHn-6Mt3P5-6MsZg7,Flickr Commons,,,,,HTI,https://live.staticflickr.com/5602/15032092144_8a834a570c_b.jpg,false
Mihály Munkácsy (1844–1900),Hungary,Hungarian but also worked in Paris,https://en.wikipedia.org/wiki/Mih%C3%A1ly_Munk%C3%A1csy,,,,,https://commons.wikimedia.org/wiki/File:Munk%C3%A1csyKopulono.jpg,Wiki Commons,,,https://www.wikiart.org/en/mihaly-munkacsy/churning-woman-1873/,,HUN,https://upload.wikimedia.org/wikipedia/commons/9/9a/Munk%C3%A1csyKopulono.jpg,false
Bertalan Székely (1835–1910,Hungary,Born and died in Hungary,https://en.wikipedia.org/wiki/Bertalan_Sz%C3%A9kely,,,,,https://commons.wikimedia.org/wiki/File:Sz%C3%A9kely_Portrait_of_%C3%81goston_Sz%C3%A9kely.jpg,Wiki Commons,,,,,HUN,https://upload.wikimedia.org/wikipedia/commons/5/59/Sz%C3%A9kely_Portrait_of_%C3%81goston_Sz%C3%A9kely.jpg,false
