id,artist_name,author_wikilink,artist_nationality,artist_iso3,country_of_subject,subject_iso3,title,keep,nudity,image_url,work_url,location_reason,author_background,artwork_date,birth_date,death_date,birth_place,source,tags,more_info,is_local,filepath
29,Georges Hanna Sabbagh,https://en.wikipedia.org/wiki/Georges_Hanna_Sabbagh,French-Egyptian,EGY,Egypt,,Arab Motherhood,Keep,Yes,https://upload.wikimedia.org/wikipedia/commons/a/ac/Georges_Sabbagh_-_Arab_Motherhood_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Georges%20Sabbagh%20-%20Arab%20Motherhood%20-%20Google%20Art%20Project.jpg,,,,1887-08-18,1951-12-09,Alexandria,Wiki Commons,,,FALSE,images/EGY/children_artwork/Arab_Motherhood.jpg
30,Jean-Baptiste-Siméon Chardin,https://en.wikipedia.org/wiki/Jean_Sim%C3%A9on_Chardin,French,FRA,France,,The Governess,Keep,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Jean-Baptiste_Simeon_Chardin_The_Governess.jpg,https://commons.wikimedia.org/wiki/File:Jean-Baptiste_Simeon_Chardin_The_Governess.jpg,French artist,https://en.wikipedia.org/wiki/Jean_Sim%C3%A9on_Chardin,,,,,Wiki Commons,,,FALSE,images/FRA/children_artwork/The_Governess.jpg
31,Marie Bashkirtseva,https://en.wikipedia.org/wiki/Marie_Bashkirtseff,French,FRA,French,,A meeting,Keep,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Marie_Bashkirtseff_-_A_meeting_-_Google_Art_Project.jpg,https://commons.wikimedia.org/wiki/File:Marie_Bashkirtseff_-_A_meeting_-_Google_Art_Project.jpg,Russian artist but lived in Paris,https://en.wikipedia.org/wiki/Marie_Bashkirtseff,,,,,Wiki Commons,,,FALSE,images/FRA/children_artwork/A_meeting.jpg
32,Nikolaos Gyzis,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,Greek,GRC,Greece,,Peek-a-Boo,Keep,,https://upload.wikimedia.org/wikipedia/commons/3/37/Detail_from_%22Peek-a-Boo%22_%281882%29_-_Nikolaos_Gyzis_%281842-1901%29.jpg,https://commons.wikimedia.org/wiki/File:Detail_from_%22Peek-a-Boo%22_(1882)_-_Nikolaos_Gyzis_(1842-1901).jpg,"Maybe based on his family, so Greece, but painted in Germany",https://en.wikipedia.org/wiki/Nikolaos_Gyzis,,,,,Wiki Commons,,,FALSE,images/GRC/children_artwork/Peek-a-Boo.jpg
33,Nikolaos Gyzis,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,Greek,GRC,Greece,,Boy with cherries,Keep,,https://upload.wikimedia.org/wikipedia/commons/5/5c/Gysis_Nikolaos_Boy_with_cherries.jpg,https://commons.wikimedia.org/wiki/File:Gysis_Nikolaos_Boy_with_cherries.jpg,,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,,,,,Wiki Commons,But love,,FALSE,images/GRC/children_artwork/Boy_with_cherries.jpg
34,Nikolaos Gyzis,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,Greek,GRC,Greece,,Stepmother,Keep,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Gyzis_Nikolaos_The_Step_Mother.jpg,https://commons.wikimedia.org/wiki/File:Gyzis_Nikolaos_The_Step_Mother.jpg,,https://en.wikipedia.org/wiki/Nikolaos_Gyzis,,,,,Wiki Commons,But love,,FALSE,images/GRC/children_artwork/Stepmother.jpg
35,Georgios Jakobides,https://en.wikipedia.org/wiki/Georgios_Jakobides,Greek,GRC,German,,Kou-Kou,Keep,,https://upload.wikimedia.org/wikipedia/commons/d/d3/Kou-Kou_by_Georgios_Iakovidis.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Kou-Kou%20by%20Georgios%20Iakovidis.jpg,"Painted in Germany, Greece",,,1853-01-11,1932-12-13,Chidira,Wiki Commons,,,FALSE,images/GRC/children_artwork/Kou-Kou.jpg
36,Bertalan Székely,https://en.wikipedia.org/wiki/Bertalan_Sz%C3%A9kely,Hungarian,HUN,Hungary,,Ágoston Székely,Keep,,https://upload.wikimedia.org/wikipedia/commons/5/59/Sz%C3%A9kely_Portrait_of_%C3%81goston_Sz%C3%A9kely.jpg,https://commons.wikimedia.org/wiki/File:Sz%C3%A9kely_Portrait_of_%C3%81goston_Sz%C3%A9kely.jpg,Born and died in Hungary,https://en.wikipedia.org/wiki/Bertalan_Sz%C3%A9kely,,,,,Wiki Commons,,,FALSE,images/HUN/children_artwork/Ágoston_Székely.jpg
52,Vladimir Borovikovsky,https://en.wikipedia.org/wiki/Vladimir_Borovikovsky,Ukrainian,UKR,Russian,,Portrait of an unknown woman with a child.,Keep,,https://upload.wikimedia.org/wikipedia/commons/f/fe/Vladimir_Borovikovsky_011.jpg,https://commons.wikimedia.org/wiki/File:Vladimir_Borovikovsky_011.jpg,Lived in Russia,https://en.wikipedia.org/wiki/Vladimir_Borovikovsky,,,,,Wiki Commons,,,FALSE,images/UKR/children_artwork/Portrait_of_an_unknown_woman_with_a_child.jpg
37,Mirza Abolhassan Khan Ghaffari,https://en.wikipedia.org/wiki/Abu%27l-Hasan_Sani_al-Mulk,Iranian,IRN,Iran,,The Physician Mirza Abolfazl Kāshāni visiting his patient,Keep,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Tabib_kashani_-_Saniolmolk.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Tabib%20kashani%20-%20Saniolmolk.jpg,,,,1814-01-01,1866-01-01,Kashan,Wiki Commons,,,FALSE,images/IRN/children_artwork/The_Physician_Mirza_Abolfazl_Kāshāni_visiting_his_patient.jpg
